工作表,行号,A_值,A_公式,B_值,B_公式,C_值,C_公式,D_值,D_公式,E_值,E_公式,F_值,F_公式,G_值,G_公式,H_值,H_公式,I_值,I_公式,J_值,J_公式,K_值,K_公式,L_值,L_公式,M_值,M_公式,N_值,N_公式,O_值,O_公式,P_值,P_公式,Q_值,Q_公式,R_值,R_公式,S_值,S_公式,T_值,T_公式,U_值,U_公式,V_值,V_公式,W_值,W_公式,X_值,X_公式,Y_值,Y_公式,Z_值,Z_公式,AA_值,AA_公式,AB_值,AB_公式,AC_值,AC_公式,AD_值,AD_公式,AE_值,AE_公式
项目专用模具,7,C0001,,模具类,,模具/模块/治具,,防水栓模具,,-,,个,,=SUM(O7:Y7),=SUM(O7:Y7),,,,,,,=G7-I7,=G7-I7,=K7*N7,=K7*N7,,,28000,,,,,,,,,,,,,,,,,,3,,0.6,,0.4,,,,,,,,,,,,,
项目专用模具,8,C0001,,模具类,,模具/模块/治具,,热缩治具/　,,　,,个,,=SUM(O8:Y8),=SUM(O8:Y8),,,,,,,=G8-I8,=G8-I8,=K8*N8,=K8*N8,,,2000,,,,,,,,,,,,,,0.11764705882353,,0.88235294117647,,0.333333333333333,,0.333333333333333,,0.333333333333333,,,,,,,,,,,,,
项目专用模具,9,C0001,,模具类,,模具/模块/治具,,扭力站固定模具/　,,　,,个,,=SUM(O9:Y9),=SUM(O9:Y9),,,,,,,=G9-I9,=G9-I9,=K9*N9,=K9*N9,,,38000,,,,,,,,,,,,,,,,,,6.75,,1.35,,0.9,,,,,,,,,,,,,
项目专用模具,10,,,,,,,,,,,,,,,,,,,,,=G10-I10,=G10-I10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目专用模具,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目专用模具,12,,,,,,,,,,,,,,,,,,,,,,,=SUM(L4:L11),=SUM(L4:L11),,,,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37590>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37590>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37500>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37500>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37530>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37530>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e374a0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e374a0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e374d0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e374d0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37440>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37440>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37470>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37470>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e373e0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e373e0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37410>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37410>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37380>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e37380>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e373b0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e373b0>,,,,,,,,,,,,
项目专用模具,13,,,,,,,,,,,,,,,,,,,,,单套费用,,=L12/'项目评估汇总（昆山90%）'!E5,=L12/'项目评估汇总（昆山90%）'!E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目专用模具,14,,,,,,,,,,,,,,,,,,,,,,,第三页,,,,=设备投资明细!N42,=设备投资明细!N42,='项目评估汇总（昆山90%）'!P35,='项目评估汇总（昆山90%）'!P35,=设备投资明细!R42,=设备投资明细!R42,=设备投资明细!S42,=设备投资明细!S42,=设备投资明细!T42,=设备投资明细!T42,=设备投资明细!U42,=设备投资明细!U42,=设备投资明细!V42,=设备投资明细!V42,=设备投资明细!W42,=设备投资明细!W42,=设备投资明细!X42,=设备投资明细!X42,=设备投资明细!Y42,=设备投资明细!Y42,=设备投资明细!Z42,=设备投资明细!Z42,=设备投资明细!AA42,=设备投资明细!AA42,,,,,,,,,,,,
项目专用模具,15,,,,,,,,,,,,,,,,,,,,,,,,,,,=设备投资明细!N43,=设备投资明细!N43,='项目评估汇总（昆山90%）'!P36,='项目评估汇总（昆山90%）'!P36,=设备投资明细!R43,=设备投资明细!R43,=设备投资明细!S43,=设备投资明细!S43,=设备投资明细!T43,=设备投资明细!T43,=设备投资明细!U43,=设备投资明细!U43,=设备投资明细!V43,=设备投资明细!V43,=设备投资明细!W43,=设备投资明细!W43,=设备投资明细!X43,=设备投资明细!X43,=设备投资明细!Y43,=设备投资明细!Y43,=设备投资明细!Z43,=设备投资明细!Z43,=设备投资明细!AA43,=设备投资明细!AA43,,,,,,,,,,,,
项目专用模具,16,,,,,,,,,,,,,,,,,,,,,,,,,,,=设备投资明细!N44,=设备投资明细!N44,=O14*O15,=O14*O15,=P14*P15,=P14*P15,=Q14*Q15,=Q14*Q15,=R14*R15,=R14*R15,=S14*S15,=S14*S15,=T14*T15,=T14*T15,=U14*U15,=U14*U15,=V14*V15,=V14*V15,=W14*W15,=W14*W15,=X14*X15,=X14*X15,=Y14*Y15,=Y14*Y15,,,,,,,,,,,,
项目专用模具,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目专用模具,18,,,,,,,,,,,,,,,,,,,,,,,,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e364e0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e364e0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目专用模具,19,说明：模具，夹具，模块,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,1,='项目评估汇总（昆山90%）'!A1,='项目评估汇总（昆山90%）'!A1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,,3,,4,,5,,6,,7,,8,,9,,10,,11,,,,,,,,,,,,,
项目工装投入 ,2,新增工装投入,,,,,,,,,,,,需求工装（元）,,,,沿用工装（元）,,,,新增工装（元）,,,,备   注,,单价,,6608491523,,6608491524,,6608442962,,6608544875,,6608442964,,6608519100,,6608442963,,6608516992,,6608442966,,6608442965,,6608507680,,,,,,,,,,,,,
项目工装投入 ,3,编号,,归属,,项目投资名称,,名称,,规格型号,,单位,,需求数量,,需求金额,,沿用数量,,沿用金额,,预估/实际数量,,预估/实际金额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,4,D0001,,工装类,,电脑,,电脑/一体机,,一体机,,台,,=SUM(O4:Y4),=SUM(O4:Y4),,,,,,,=G4-I4,=G4-I4,=N4*K4,=N4*K4,,,4200,,8.47826086956522,,1.69565217391305,,1.1304347826087,,1.69565217391305,,6.8,,1.2,,2.23529411764707,,16.7647058823529,,18,,3.6,,2.4,,,,,,,,,,,,,
项目工装投入 ,5,D0001,,工装类,,辅助工装,,气动辅助工装/定制,,定制,,个,,=SUM(O5:Y5),=SUM(O5:Y5),,,,,,,=G5-I5,=G5-I5,=N5*K5,=N5*K5,,,40000,,0.652173913043478,,0.130434782608696,,0.0869565217391304,,0.130434782608696,,0.85,,0.15,,0.35294117647059,,2.64705882352941,,3,,0.6,,0.4,,,,,,,,,,,,,
项目工装投入 ,6,D0001,,工装类,,辅助工装,,插位回拉工装/定制,,QDKZQ,,个,,=SUM(O6:Y6),=SUM(O6:Y6),,,,,,,=G6-I6,=G6-I6,=N6*K6,=N6*K6,,,40000,,0.652173913043478,,0.130434782608696,,0.0869565217391304,,0.130434782608696,,0.85,,0.15,,0.35294117647059,,2.64705882352941,,3,,0.6,,0.4,,,,,,,,,,,,,
项目工装投入 ,7,D0001,,工装类,,辅助工装,,插位诱导工装/定制,,定制,,个,,=SUM(O7:Y7),=SUM(O7:Y7),,,,,,,=G7-I7,=G7-I7,=N7*K7,=N7*K7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,8,D0001,,工装类,,辅助工装,,插拔力测试工装/定制,,定制,,个,,=SUM(O8:Y8),=SUM(O8:Y8),,,,,,,=G8-I8,=G8-I8,=N8*K8,=N8*K8,,,40000,,,,,,,,,,,,,,,,,,0.75,,0.15,,0.1,,,,,,,,,,,,,
项目工装投入 ,9,D0001,,工装类,,辅助工装,,焊接机侧推工装/定制,,定制,,个,,=SUM(O9:Y9),=SUM(O9:Y9),,,,,,,=G9-I9,=G9-I9,=N9*K9,=N9*K9,,,32000,,1.30434782608696,,0.260869565217392,,0.173913043478261,,0.260869565217392,,0.85,,0.15,,,,,,3.75,,0.75,,0.5,,,,,,,,,,,,,
项目工装投入 ,10,D0001,,工装类,,扭力检测仪,,扭力检测仪/-,,,,个,,=SUM(O10:Y10),=SUM(O10:Y10),,,,,,,=G10-I10,=G10-I10,=N10*K10,=N10*K10,,,32000,,,,,,,,,,,,,,,,,,0.75,,0.15,,0.1,,,,,,,,,,,,,
项目工装投入 ,11,D0001,,工装类,,辅助工装,,橡胶件气动扩张钳/QDKZQ,,,,,,=SUM(O11:Y11),=SUM(O11:Y11),,,,,,,=G11-I11,=G11-I11,=N11*K11,=N11*K11,,,1000,,,,,,,,,,,,,,,,,,0.75,,0.15,,0.1,,,,,,,,,,,,,
项目工装投入 ,12,,,,,,,,,,,,,=SUM(O12:Y12),=SUM(O12:Y12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,15,,,,,,,,,,,,,,,,,,,,,合计,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7aae0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7aae0>,,,,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a540>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a540>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a5d0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a5d0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a420>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a420>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a390>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a390>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a4b0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a4b0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a630>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a630>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a5a0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a5a0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a510>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a510>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a570>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a570>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a4e0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a4e0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a450>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e7a450>,,,,,,,,,,,,
项目工装投入 ,16,,,,,,,,,,,,,,,,,,,,,单套成本,,=L15/'项目评估汇总（昆山90%）'!E5,=L15/'项目评估汇总（昆山90%）'!E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,17,,,,,,,,,,,,,,,,,,,,,,,,,,,=项目专用模具!N14,=项目专用模具!N14,='项目评估汇总（昆山90%）'!P35,='项目评估汇总（昆山90%）'!P35,='项目评估汇总（昆山90%）'!Q35,='项目评估汇总（昆山90%）'!Q35,='项目评估汇总（昆山90%）'!R35,='项目评估汇总（昆山90%）'!R35,='项目评估汇总（昆山90%）'!S35,='项目评估汇总（昆山90%）'!S35,='项目评估汇总（昆山90%）'!T35,='项目评估汇总（昆山90%）'!T35,='项目评估汇总（昆山90%）'!U35,='项目评估汇总（昆山90%）'!U35,='项目评估汇总（昆山90%）'!V35,='项目评估汇总（昆山90%）'!V35,='项目评估汇总（昆山90%）'!W35,='项目评估汇总（昆山90%）'!W35,='项目评估汇总（昆山90%）'!X35,='项目评估汇总（昆山90%）'!X35,='项目评估汇总（昆山90%）'!Y35,='项目评估汇总（昆山90%）'!Y35,='项目评估汇总（昆山90%）'!Z35,='项目评估汇总（昆山90%）'!Z35,,,,,,,,,,,,
项目工装投入 ,18,,,,,,,,,,,,,,,,,,,,,,,,,第四页,,=项目专用模具!N15,=项目专用模具!N15,='项目评估汇总（昆山90%）'!P36,='项目评估汇总（昆山90%）'!P36,='项目评估汇总（昆山90%）'!Q36,='项目评估汇总（昆山90%）'!Q36,='项目评估汇总（昆山90%）'!R36,='项目评估汇总（昆山90%）'!R36,='项目评估汇总（昆山90%）'!S36,='项目评估汇总（昆山90%）'!S36,='项目评估汇总（昆山90%）'!T36,='项目评估汇总（昆山90%）'!T36,='项目评估汇总（昆山90%）'!U36,='项目评估汇总（昆山90%）'!U36,='项目评估汇总（昆山90%）'!V36,='项目评估汇总（昆山90%）'!V36,='项目评估汇总（昆山90%）'!W36,='项目评估汇总（昆山90%）'!W36,='项目评估汇总（昆山90%）'!X36,='项目评估汇总（昆山90%）'!X36,='项目评估汇总（昆山90%）'!Y36,='项目评估汇总（昆山90%）'!Y36,='项目评估汇总（昆山90%）'!Z36,='项目评估汇总（昆山90%）'!Z36,,,,,,,,,,,,
项目工装投入 ,19,,,,,,,,,,,,,,,,,,,,,,,,,,,=项目专用模具!N16,=项目专用模具!N16,=O17*O18,=O17*O18,=P17*P18,=P17*P18,=Q17*Q18,=Q17*Q18,=R17*R18,=R17*R18,=S17*S18,=S17*S18,=T17*T18,=T17*T18,=U17*U18,=U17*U18,=V17*V18,=V17*V18,=W17*W18,=W17*W18,=X17*X18,=X17*X18,=Y17*Y18,=Y17*Y18,,,,,,,,,,,,
项目工装投入 ,20,,,,,,,,,,,,,,,,,,,,,,,375000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,21,,,,,,,,,,,,,,,,,,,,,,,=L20/50000,=L20/50000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,22,,,,,,,,,,,,,,,,,,,,,,,,,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e60da0>,<openpyxl.worksheet.formula.ArrayFormula object at 0x7efc49e60da0>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,23,,,,,,,,,,,,,,,,,,,,,,,=L15-L20,=L15-L20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,25,,,,,,,,,,,,,,,,,,,,,,,=L23/'项目评估汇总（昆山90%）'!E5,=L23/'项目评估汇总（昆山90%）'!E5,,,=50000*L21+L25*35000,=50000*L21+L25*35000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
项目工装投入 ,27,,,,,,,,,,,,,,,,,,,,,,,,,,,=N25/'项目评估汇总（昆山90%）'!F5,=N25/'项目评估汇总（昆山90%）'!F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,1,='项目评估汇总（昆山90%）'!A1,='项目评估汇总（昆山90%）'!A1,,,,,,,,,金额单位：元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,2,研发费用成本（不包含收费样线）,,,,,,,,,,,,备   注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,3,编号,,归属,,项目投资名称,,单位,,新增数量,,新增金额,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,4,E0001,,研发费用类,,原 材 料,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,5,E0002,,研发费用类,,手工样线,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,6,E0003,,研发费用类,,试验样线/样品费用,,,,,,271200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,7,E0004,,研发费用类,,工    资,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,8,E0005,,研发费用类,,差 旅 费,,,,,,10800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,9,E0006,,研发费用类,,交 际 费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,10,E0007,,研发费用类,,常规DVP测试,,,,,,300000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,11,E0008,,研发费用类,,实验费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,12,E0009,,研发费用类,,资讯设备费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,13,E0010,,研发费用类,,空运费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,14,E0011,,研发费用类,,气味实验,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,15,E0011,,研发费用类,,管理费用,,,,,,,,"59,791元,费用总金额*5%",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,16,E0012,,研发费用类,,专利费,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,17,E0013,,研发费用类,,场地租赁,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,18,,,,,,,,,合计,,=SUM(F4:F17),=SUM(F4:F17),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,19,,,,,,,,,单套成本,,=F18/'项目评估汇总（昆山90%）'!E5,=F18/'项目评估汇总（昆山90%）'!E5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,21,,,,,,,,,,,=F19/配置明细!P24,=F19/配置明细!P24,第五页,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
研发费用 ,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,1,='项目评估汇总（昆山90%）'!A1,='项目评估汇总（昆山90%）'!A1,,,,,,,,,金额单位：元,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,2,包装物流成本明细,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,3,客户零件号,,SAP号,,物料描述,,用量,,内包装,,外包装,,运费,,超额运费,,短驳（合肥仓库到客户）+其他,,三方仓费用,,仓储费,,合计,,备注,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,4,=配置明细!B3,=配置明细!B3,,,=配置明细!D3,=配置明细!D3,=配置明细!E3,=配置明细!E3,1.94245,,0.35,,,,,,0.333333333333333,,1.5,,0.35,,=SUM(E4:K4),=SUM(E4:K4),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,5,=配置明细!B4,=配置明细!B4,,,=配置明细!D4,=配置明细!D4,=配置明细!E4,=配置明细!E4,1.94245,,0.35,,,,,,0.333333333333333,,1.5,,0.35,,=SUM(E5:K5),=SUM(E5:K5),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,6,=配置明细!B5,=配置明细!B5,,,=配置明细!D5,=配置明细!D5,=配置明细!E5,=配置明细!E5,1.94245,,0.35,,,,,,0.333333333333333,,1.5,,0.35,,=SUM(E6:K6),=SUM(E6:K6),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,7,=配置明细!B6,=配置明细!B6,,,=配置明细!D6,=配置明细!D6,=配置明细!E6,=配置明细!E6,1.94245,,0.35,,,,,,0.333333333333333,,1.5,,0.35,,=SUM(E7:K7),=SUM(E7:K7),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,8,=配置明细!B7,=配置明细!B7,,,=配置明细!D7,=配置明细!D7,=配置明细!E7,=配置明细!E7,0.3940068,,0.14,,,,,,0,,1.5,,0.14,,=SUM(E8:K8),=SUM(E8:K8),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,9,=配置明细!B8,=配置明细!B8,,,=配置明细!D8,=配置明细!D8,=配置明细!E8,=配置明细!E8,0.3940068,,0.14,,,,,,0,,1.5,,0.14,,=SUM(E9:K9),=SUM(E9:K9),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,10,=配置明细!B9,=配置明细!B9,,,=配置明细!D9,=配置明细!D9,=配置明细!E9,=配置明细!E9,0.5225085,,0.175,,,,,,0,,1.5,,0.175,,=SUM(E10:K10),=SUM(E10:K10),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,11,=配置明细!B10,=配置明细!B10,,,=配置明细!D10,=配置明细!D10,=配置明细!E10,=配置明细!E10,0.5225085,,0.175,,,,,,0,,1.5,,0.175,,=SUM(E11:K11),=SUM(E11:K11),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,12,=配置明细!B11,=配置明细!B11,,,=配置明细!D11,=配置明细!D11,=配置明细!E11,=配置明细!E11,4.094525,,0.875,,,,,,0.833333333333333,,3.2,,0.875,,=SUM(E12:K12),=SUM(E12:K12),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,13,=配置明细!B12,=配置明细!B12,,,=配置明细!D12,=配置明细!D12,=配置明细!E12,=配置明细!E12,4.094525,,0.875,,,,,,0.833333333333333,,3.2,,0.875,,=SUM(E13:K13),=SUM(E13:K13),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,14,=配置明细!B13,=配置明细!B13,,,=配置明细!D13,=配置明细!D13,=配置明细!E13,=配置明细!E13,4.094525,,0.875,,,,,,0.833333333333333,,3.2,,0.875,,=SUM(E14:K14),=SUM(E14:K14),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
包装物流费用,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
